time mnvel errvel tel
2455439.940758 3.105130859352969 1.0850737364479386 hires_post
2455440.8817225 -3.27981966996091 0.9029140775328796 hires_post
2455455.8286903333 -0.9893335756722677 1.1732520257400698 hires_post
2455464.79112 13.178694009663783 1.109956225234246 hires_post
2455465.8695983333 7.532952968833528 1.1170673116734295 hires_post
2455466.7280826666 0.7990703467953725 1.1615832036488303 hires_post
2455467.8502383335 -0.24832391516822744 1.164640602150697 hires_post
2455468.7165613333 1.7516778153106387 1.1936113088965 hires_post
2455469.755997 -0.3461770025231474 1.0670854922888786 hires_post
2455471.850213667 -3.8343614871952973 1.1115397810849286 hires_post
2455486.8226966667 0.9799207259173973 1.2333051219362823 hires_post
2455490.8218603334 -2.803252425316022 1.1918089824459988 hires_post
2455521.759713 -2.6840854757183403 2.21422266960144 hires_post
2456476.001784 -7.0956743684412995 3.14411091804504 hires_post
2456487.060913 -0.4388984619866927 1.7723287058775234 hires_post
2456762.639368 2.029999999998836 1.93 HARPS_N
2456764.64751 -0.020000000000436557 1.45 HARPS_N
2456765.622661 -10.380000000001019 1.38 HARPS_N
2456766.63719 -13.520000000000437 5.99 HARPS_N
2456768.669315 -5.520000000000437 1.75 HARPS_N
2456769.737457 0.020000000000436557 1.16 HARPS_N
2456783.5610929998 -6.549999999999272 1.19 HARPS_N
2456784.564843 -8.479999999999563 1.15 HARPS_N
2456785.617658 -9.280000000002474 1.43 HARPS_N
2456798.576307 2.319999999999709 0.99 HARPS_N
2456799.561359 0.3600000000005821 1.32 HARPS_N
2456800.551758 1.4500000000007276 1.14 HARPS_N
2456801.524205 1.7499999999999998 1.3 HARPS_N
2456802.539813 3.6599999999998545 2.0 HARPS_N
2456803.572851 4.469999999997526 1.79 HARPS_N
2456813.516317 -3.220000000001164 0.88 HARPS_N
2456814.537057 4.809999999997672 1.07 HARPS_N
2456816.639846 4.880000000001019 0.9 HARPS_N
2456828.455942 3.5400000000008727 1.78 HARPS_N
2456829.423431 4.919999999998254 1.23 HARPS_N
2456830.454195 -1.0100000000020373 1.11 HARPS_N
2456831.713969 2.7700000000004366 1.04 HARPS_N
2456832.468881 4.880000000001019 1.15 HARPS_N
2456833.531472 -5.180000000000291 1.38 HARPS_N
2456834.451861 -0.9200000000018917 1.17 HARPS_N
2456835.497761 -5.729999999999563 1.18 HARPS_N
2456836.5332204998 3.094749924096294 1.092443545225152 HARPS_N
2456845.433549 5.889999999999418 1.31 HARPS_N
2456846.481384 -4.569999999999709 0.94 HARPS_N
2456847.439704 -5.440000000002328 1.64 HARPS_N
2456848.402826 1.0099999999983993 1.46 HARPS_N
2456849.404363 0.7999999999992724 1.61 HARPS_N
2456850.412033 -2.650000000001455 3.0 HARPS_N
2456851.408417 3.599999999998545 0.91 HARPS_N
2456852.407578 -4.280000000002474 1.56 HARPS_N
2456853.411021 5.489999999997963 1.22 HARPS_N
2456863.6593675 -3.1286577526373187 1.388644569831199 HARPS_N
2456864.562032 0.7423103448271988 0.9236974052966286 HARPS_N
2456865.5835955 2.248921933085972 1.0304111858359801 HARPS_N
2456866.5462295003 -5.0062620689665325 1.3154657756462353 HARPS_N
2457115.684925 -1.6599999999998545 1.97 HARPS_N
2457122.653637 -5.360000000000582 1.47 HARPS_N
2457156.57568 -6.600000000002183 3.58 HARPS_N
2457158.600352 -8.900000000001455 2.66 HARPS_N
2457159.594238 -1.0 1.78 HARPS_N
2457160.6468585003 -3.4849497847935886 0.9495296814503333 HARPS_N
2457161.637022 -4.729513696043972 1.0460841033177466 HARPS_N
2457180.6142805 1.8080257510719493 0.9438088030972362 HARPS_N
2457181.6075945 6.213466191784136 0.9557640668436477 HARPS_N
2457182.584043 1.8729961309794476 1.0130002565031166 HARPS_N
2457183.6141445 -2.669556565164586 1.1484253388152956 HARPS_N
2457184.5851525 -8.452508892577853 1.7313318798701431 HARPS_N
2457185.5799335 -4.408220199840792 1.0323032545633979 HARPS_N
2457186.5900675002 2.890748833440334 0.9382608073703078 HARPS_N
2457188.5910845 0.17166409504605817 1.110049492148565 HARPS_N
2457189.5833280003 -2.5729855404149817 1.3839822039577445 HARPS_N
2457190.5965265 4.816866095526634 1.0192346180668532 HARPS_N
2457191.5965175 3.2591946702666714 0.9222664791556927 HARPS_N
2457192.5940835 -0.6166673667621287 0.9757305009588682 HARPS_N
2457193.59607 5.471411113672394 0.9821442992182832 HARPS_N
2457195.562945 2.658954730849417 1.2680605442062238 HARPS_N
2457241.066679 -2.01345482564879 3.06186032295227 hires_post
2457294.9101505 -7.7786698401582015 2.099685005935872 hires_post
2457556.051661 1.44882161406813 3.49978375434875 hires_post
2458697.72874 9.79063271943949 5.87021207809448 apf
2458698.706438 -7.30081118834886 5.78170919418335 apf
2458700.733429 9.96367797521172 5.35673666000366 apf
2458701.837594 9.40218719973388 5.50091600418091 apf
2458702.707663 3.28019673556691 5.69339799880981 apf
2458704.825138 7.7182606043154625 4.721501683251774 apf
2458705.831586 4.78051142665473 5.42089128494263 apf
2458706.721919 15.3588784715468 5.81945180892944 apf
2458708.697266 0.0440133218918213 5.52763938903809 apf
2458710.668351 -16.0394739866175 5.10585784912109 apf
2458711.680333 -5.73731254200904 5.32125520706177 apf
2458712.666632 7.38207600814146 4.88036155700684 apf
2458713.664156 20.1572448865565 5.43731069564819 apf
2458714.695673 0.61266697889184 5.13963079452515 apf
2458715.667479 -6.23417191255925 4.83240509033203 apf
2458716.677837 -14.0852673131098 5.39110231399536 apf
2458717.675381 3.58072848327599 5.63625907897949 apf
2458718.789474 -20.2049696553497 4.99559545516968 apf
